Link ID: _y759, current_velocityが0の割合: 0.02, 出現回数: 404
Link ID: _y158, current_velocityが0の割合: 0.02, 出現回数: 527
Link ID: _y305, current_velocityが0の割合: 0.02, 出現回数: 725
Link ID: _y665, current_velocityが0の割合: 0.02, 出現回数: 242
Link ID: _y874, current_velocityが0の割合: 0.02, 出現回数: 913
Link ID: _y091, current_velocityが0の割合: 0.01, 出現回数: 336
Link ID: _y503, current_velocityが0の割合: 0.01, 出現回数: 416
Link ID: _y338, current_velocityが0の割合: 0.01, 出現回数: 1211
Link ID: _y646, current_velocityが0の割合: 0.01, 出現回数: 2959
Link ID: _y873, current_velocityが0の割合: 0.01, 出現回数: 1866
Link ID: _y459, current_velocityが0の割合: 0.01, 出現回数: 1664
Link ID: _y484, current_velocityが0の割合: 0.01, 出現回数: 560
Link ID: _y565, current_velocityが0の割合: 0.01, 出現回数: 855
Link ID: _y567, current_velocityが0の割合: 0.01, 出現回数: 5554
Link ID: _y440, current_velocityが0の割合: 0.01, 出現回数: 1753
Link ID: _y564, current_velocityが0の割合: 0.01, 出現回数: 1956
