Link ID: _y027, current_velocityが0の割合: 0.00, 出現回数: 22
Link ID: _y037, current_velocityが0の割合: 0.00, 出現回数: 402
Link ID: _y039, current_velocityが0の割合: 0.00, 出現回数: 621
Link ID: _y046, current_velocityが0の割合: 0.00, 出現回数: 9
Link ID: _y063, current_velocityが0の割合: 0.00, 出現回数: 3
Link ID: _y068, current_velocityが0の割合: 0.00, 出現回数: 1
Link ID: _y069, current_velocityが0の割合: 0.00, 出現回数: 8
Link ID: _y072, current_velocityが0の割合: 0.00, 出現回数: 19
Link ID: _y073, current_velocityが0の割合: 0.00, 出現回数: 20
Link ID: _y083, current_velocityが0の割合: 0.00, 出現回数: 5
Link ID: _y088, current_velocityが0の割合: 0.00, 出現回数: 5
Link ID: _y089, current_velocityが0の割合: 0.00, 出現回数: 1
Link ID: _y096, current_velocityが0の割合: 0.00, 出現回数: 29
Link ID: _y1005, current_velocityが0の割合: 0.00, 出現回数: 4
Link ID: _y1008, current_velocityが0の割合: 0.00, 出現回数: 2
Link ID: _y1014, current_velocityが0の割合: 0.00, 出現回数: 2
Link ID: _y103, current_velocityが0の割合: 0.00, 出現回数: 2
Link ID: _y104, current_velocityが0の割合: 0.00, 出現回数: 7
Link ID: _y1075, current_velocityが0の割合: 0.00, 出現回数: 2
Link ID: _y1077, current_velocityが0の割合: 0.00, 出現回数: 5
Link ID: _y1084, current_velocityが0の割合: 0.00, 出現回数: 5
Link ID: _y1085, current_velocityが0の割合: 0.00, 出現回数: 4
Link ID: _y1089, current_velocityが0の割合: 0.00, 出現回数: 3
Link ID: _y1090, current_velocityが0の割合: 0.00, 出現回数: 2
Link ID: _y1110, current_velocityが0の割合: 0.00, 出現回数: 4
Link ID: _y1116, current_velocityが0の割合: 0.00, 出現回数: 7
Link ID: _y1118, current_velocityが0の割合: 0.00, 出現回数: 47
Link ID: _y1133, current_velocityが0の割合: 0.00, 出現回数: 166
Link ID: _y1148, current_velocityが0の割合: 0.00, 出現回数: 32
Link ID: _y1167, current_velocityが0の割合: 0.00, 出現回数: 1
Link ID: _y1168, current_velocityが0の割合: 0.00, 出現回数: 7
Link ID: _y1173, current_velocityが0の割合: 0.00, 出現回数: 3
Link ID: _y1175, current_velocityが0の割合: 0.00, 出現回数: 6
Link ID: _y1179, current_velocityが0の割合: 0.00, 出現回数: 13
Link ID: _y1183, current_velocityが0の割合: 0.00, 出現回数: 2
Link ID: _y1191, current_velocityが0の割合: 0.00, 出現回数: 638
Link ID: _y146, current_velocityが0の割合: 0.00, 出現回数: 430
Link ID: _y149, current_velocityが0の割合: 0.00, 出現回数: 5
