Link ID: _y767, 出現回数: 20, current_velocityが0の割合: 0.05
Link ID: _y667, 出現回数: 20, current_velocityが0の割合: 0.10
Link ID: _y1092, 出現回数: 19, current_velocityが0の割合: 0.05
Link ID: _y251, 出現回数: 18, current_velocityが0の割合: 0.50
Link ID: _y1199, 出現回数: 18, current_velocityが0の割合: 0.06
Link ID: _y248, 出現回数: 18, current_velocityが0の割合: 0.28
Link ID: _y351, 出現回数: 18, current_velocityが0の割合: 0.06
Link ID: _y294, 出現回数: 18, current_velocityが0の割合: 0.06
Link ID: _y230, 出現回数: 16, current_velocityが0の割合: 0.06
Link ID: _y757, 出現回数: 15, current_velocityが0の割合: 0.20
Link ID: _y754, 出現回数: 15, current_velocityが0の割合: 0.20
Link ID: _y318, 出現回数: 15, current_velocityが0の割合: 0.07
Link ID: _y244, 出現回数: 15, current_velocityが0の割合: 0.53
Link ID: _y1105, 出現回数: 13, current_velocityが0の割合: 0.15
Link ID: _y239, 出現回数: 12, current_velocityが0の割合: 0.33
Link ID: _y650, 出現回数: 12, current_velocityが0の割合: 0.33
Link ID: _y998, 出現回数: 11, current_velocityが0の割合: 0.09
Link ID: _y340, 出現回数: 9, current_velocityが0の割合: 0.11
Link ID: _y242, 出現回数: 8, current_velocityが0の割合: 0.12
Link ID: _y217, 出現回数: 8, current_velocityが0の割合: 0.12
Link ID: _y241, 出現回数: 5, current_velocityが0の割合: 0.20
Link ID: _y237, 出現回数: 4, current_velocityが0の割合: 0.50
Link ID: _y253, 出現回数: 2, current_velocityが0の割合: 0.50
Link ID: _y1165, 出現回数: 2, current_velocityが0の割合: 1.00
Link ID: _y233, 出現回数: 2, current_velocityが0の割合: 0.50
